study_hours,attendance,previous_marks,assignments,sleep_hours,final_marks
4,89,82,81,5,79.0
2,94,86,41,8,63.3
2,50,84,42,7,53.8
6,65,57,62,6,55.9
4,88,77,94,8,76.9
6,54,74,51,5,64.1
7,71,90,59,6,74.3
8,78,54,44,7,77.0
7,52,64,76,5,63.2
8,61,94,77,5,68.1
6,75,76,69,5,68.0
7,65,67,48,8,55.7
4,100,49,73,7,63.2
1,86,78,92,6,72.6
6,71,56,83,8,70.1
8,78,78,74,8,78.6
5,63,61,91,8,75.3
8,77,65,97,5,73.5
5,54,83,61,7,69.3
2,96,64,83,8,68.3
7,98,56,63,6,70.7
5,79,52,56,7,55.6
8,95,59,49,6,66.6
2,54,64,69,7,49.5
1,61,43,95,6,52.6
4,65,49,98,5,61.9
4,75,42,85,8,58.1
4,75,80,62,6,72.6
5,97,84,71,7,76.2
1,70,57,56,8,53.7
5,88,86,89,8,82.0
7,85,75,90,7,74.9
5,82,86,56,6,68.8
1,79,61,53,5,48.3
1,86,73,48,5,60.8
7,72,86,79,6,70.5
1,59,47,41,8,46.0
8,54,79,84,8,76.7
1,85,88,64,8,67.4
4,83,83,78,8,70.6
8,80,58,48,6,61.5
8,59,81,93,8,76.4
7,68,80,61,7,72.4
3,81,76,82,8,69.0
3,50,45,85,5,54.9
1,54,91,43,8,58.1
8,94,65,65,6,63.9
3,53,73,97,5,62.7
3,65,95,68,6,74.4
1,73,84,84,6,68.7
3,65,45,73,5,54.0
5,51,76,62,6,56.4
2,98,72,76,6,67.7
7,77,92,50,8,77.4
2,81,61,45,7,53.9
1,76,60,57,6,53.9
4,69,45,60,6,60.1
7,73,45,81,6,61.6
1,61,94,75,8,60.5
8,99,87,80,7,86.8
4,84,43,77,5,60.3
2,82,69,73,8,68.4
1,82,50,56,8,56.4
8,100,69,76,7,76.7
7,92,70,64,7,74.9
7,86,63,77,8,69.8
6,61,94,97,5,73.6
8,52,48,51,8,62.6
5,50,94,62,7,65.0
3,82,42,92,5,68.7
4,89,90,81,7,67.4
8,59,70,61,5,62.8
6,92,79,60,6,67.4
3,93,76,66,7,64.5
3,78,75,96,7,67.5
1,62,63,70,8,50.8
3,61,70,45,7,58.2
5,80,45,66,7,58.8
7,95,41,79,6,68.7
6,51,59,73,7,60.3
3,100,67,51,6,59.2
1,99,50,84,6,66.8
5,84,43,96,6,69.4
2,72,54,92,6,51.8
7,66,45,46,5,47.3
7,75,93,49,8,78.2
6,57,88,84,5,67.6
7,78,69,56,7,62.0
3,75,95,65,5,69.4
1,59,77,60,5,53.2
7,75,90,67,7,76.4
7,83,41,97,7,74.0
2,100,54,85,7,59.8
2,90,50,41,5,43.7
4,56,47,99,5,64.6
5,53,65,93,7,60.2
3,99,90,82,8,71.8
7,94,84,40,8,69.7
8,60,83,90,6,84.1
7,78,44,92,7,71.5
1,85,45,75,6,58.1
4,74,65,90,8,69.8
5,70,93,65,6,66.8
8,85,43,68,7,70.4
4,59,58,60,7,50.6
6,86,59,50,7,60.1
5,58,72,79,5,65.8
7,73,59,50,6,56.9
7,84,88,75,8,79.0
5,98,51,88,8,71.4
7,84,86,98,8,81.8
3,97,40,78,5,50.7
5,85,65,79,5,64.0
4,67,53,74,7,56.7
5,98,77,93,8,80.1
8,88,76,73,5,75.1
7,81,50,94,7,73.5
3,73,75,86,8,65.8
3,72,52,63,6,57.1
6,81,82,93,7,71.6
4,86,42,61,5,48.1
2,61,72,44,5,41.2
2,98,45,95,7,62.4
5,62,89,72,7,66.5
6,72,95,97,5,80.2
1,74,49,75,6,50.5
5,84,44,86,8,68.1
6,90,62,59,6,69.6
4,79,49,58,7,55.4
4,66,83,74,6,66.9
4,98,41,91,5,67.6
4,69,52,82,7,56.7
4,97,79,56,8,70.4
6,74,41,98,5,61.4
6,71,59,84,5,60.6
3,62,40,82,8,50.7
8,68,76,73,8,70.4
2,98,48,48,6,54.4
7,85,56,65,7,62.1
4,61,48,41,8,50.2
1,90,50,92,8,66.2
7,68,54,48,7,63.0
6,61,63,48,8,59.4
1,58,77,79,8,67.4
1,56,94,56,6,64.5
1,77,74,40,5,51.5
3,63,69,64,5,46.3
6,80,70,100,5,76.5
1,68,88,82,5,52.3
4,96,44,79,8,71.9
5,65,83,81,7,74.8
1,54,89,64,7,65.4
3,84,53,78,6,61.7
7,61,92,74,6,71.6
6,74,95,42,8,69.1
8,70,50,89,7,68.6
3,85,48,76,7,64.6
1,72,73,83,5,61.6
6,65,51,83,8,66.8
5,88,74,90,8,73.2
1,94,74,69,5,71.1
3,91,40,77,8,65.2
2,88,79,73,8,61.6
4,63,61,51,6,53.0
8,80,68,58,7,74.8
7,54,47,76,8,60.6
3,84,50,83,6,62.3
6,72,80,98,7,80.3
8,78,76,98,5,64.1
8,92,53,88,6,73.8
8,60,69,100,6,74.0
1,67,74,56,7,54.0
4,96,60,49,5,60.7
1,61,76,96,6,64.0
6,58,44,94,8,66.0
1,59,58,88,8,56.4
2,93,53,86,8,67.6
4,66,65,51,5,55.3
4,87,43,55,6,55.2
6,56,64,63,8,58.6
7,95,84,58,5,66.8
2,62,81,47,8,52.7
3,89,64,70,7,65.4
1,91,57,60,6,55.1
5,58,79,56,6,55.6
1,99,47,62,5,56.0
8,76,78,76,5,78.9
1,51,79,93,6,57.2
3,54,53,55,8,46.1
1,78,71,45,8,53.5
2,86,90,47,7,67.0
2,87,77,64,8,67.6
4,68,72,57,5,54.8
6,57,62,64,5,65.3
7,97,54,51,8,74.5
5,94,72,54,5,62.2
8,50,64,98,6,67.6
1,71,56,65,6,49.8
1,66,72,80,8,59.2
3,56,86,84,6,68.3
6,74,94,65,6,74.0
2,94,41,86,7,64.3
5,53,53,71,7,61.2
4,85,92,49,6,73.7
2,55,79,55,8,53.5
8,80,79,46,7,73.0
6,68,90,56,5,58.1
8,93,78,62,5,68.7
7,88,90,65,5,74.3
4,76,45,60,8,60.1
7,59,45,61,6,57.8
3,75,42,97,5,56.1
8,68,46,46,8,60.7
3,88,90,53,7,72.7
1,52,47,54,6,42.4
7,94,81,92,7,88.9
6,62,91,46,8,71.5
8,99,54,48,5,68.2
5,77,86,90,5,67.6
4,69,68,87,8,71.9
2,77,72,47,5,52.3
6,57,91,89,6,68.2
6,90,69,98,8,80.9
3,88,78,62,7,60.4
7,50,66,68,8,63.1
8,52,75,57,6,65.5
8,62,68,70,6,77.3
1,77,77,69,8,59.7
1,98,72,91,8,68.0
4,74,76,78,5,67.8
3,82,66,74,6,57.7
6,87,94,57,8,78.1
8,55,72,98,8,81.4
5,93,43,81,6,63.3
3,94,61,78,8,71.8
4,81,41,56,5,54.3
4,94,49,53,6,55.7
3,96,44,70,5,56.9
4,70,49,63,5,52.8
3,65,72,74,5,58.9
2,70,93,83,5,66.0
3,60,77,99,6,68.4
7,86,52,84,5,70.5
3,85,70,73,5,52.9
4,84,86,42,8,66.3
8,68,75,76,6,66.5
7,69,84,82,6,73.1
4,67,63,79,7,63.0
1,96,91,65,6,69.9
1,90,95,94,6,71.4
8,98,54,62,7,73.0
8,63,68,83,6,74.4
7,64,47,78,6,68.1
2,80,44,54,6,50.3
8,50,68,95,6,71.4
1,52,86,88,7,62.0
3,65,43,43,6,45.2
4,72,51,68,6,54.7
1,60,84,61,7,48.6
1,61,41,64,8,44.9
2,59,66,52,5,43.1
7,81,70,57,8,76.1
7,65,90,72,7,75.2
6,57,90,55,5,63.9
2,87,75,84,7,64.6
3,61,75,81,7,63.8
7,73,65,83,6,67.1
4,77,82,41,5,60.3
8,57,66,94,6,72.7
2,77,44,74,5,49.3
8,85,59,81,7,70.9
1,75,50,73,7,58.4
4,57,49,69,8,57.2
4,99,79,98,5,71.5
1,77,77,94,6,63.0
2,77,45,52,8,49.0
1,86,47,52,8,53.1
8,90,62,57,8,76.2
6,85,86,71,6,73.6
4,76,65,71,8,75.1
5,66,85,74,6,69.9
5,58,82,98,8,74.6
8,82,51,78,6,66.1
3,69,65,85,7,62.6
7,62,52,91,7,65.0
1,77,79,68,7,52.6
1,97,57,88,7,67.6
3,78,64,68,7,59.7
3,62,72,92,8,63.8
8,95,86,83,8,85.9
8,84,79,96,8,85.8
3,55,82,55,6,56.2
4,67,51,95,6,62.1
8,100,83,83,6,85.3
6,54,75,86,6,66.3
8,96,87,96,7,87.9
1,74,43,49,7,41.2
8,51,44,69,7,56.5
4,59,95,64,5,66.3
3,79,76,78,8,63.2
1,99,47,59,6,55.3
8,94,81,44,6,72.3
4,54,88,40,7,57.8
6,82,67,69,6,64.6
8,50,70,88,6,73.7
4,67,48,42,8,60.7
6,81,93,84,7,80.0
3,96,90,53,8,71.6
8,98,68,95,5,76.4
6,60,53,69,5,53.8
1,70,79,89,5,60.9
3,75,80,43,7,56.2
1,74,61,57,6,45.4
5,71,50,76,7,65.6
2,76,62,64,7,61.4
8,98,40,87,6,68.6
6,62,85,40,8,66.6
2,82,76,92,5,69.3
2,83,60,85,8,65.4
6,90,65,54,5,59.8
3,84,85,48,7,63.2
8,50,75,54,5,68.4
5,70,93,88,7,76.3
1,97,62,96,8,70.3
4,55,40,63,7,53.5
1,77,93,43,8,57.8
4,66,94,51,6,61.4
1,54,90,98,6,65.3
6,80,79,97,6,79.4
5,54,54,76,7,64.4
8,87,60,100,6,74.0
4,52,86,76,5,64.3
8,72,48,82,8,75.5
8,86,92,99,8,84.1
8,86,48,45,5,67.6
7,59,49,78,7,70.7
3,59,91,95,7,80.6
1,68,92,85,8,68.5
8,66,65,63,6,68.0
1,70,80,50,7,59.8
8,63,74,52,7,71.2
4,58,91,73,5,69.0
3,95,64,64,5,64.4
3,50,65,46,6,50.0
6,100,50,91,7,78.1
7,94,77,43,7,66.9
6,62,41,98,5,61.8
6,53,46,47,7,60.3
6,50,57,59,8,55.0
6,98,66,68,5,66.5
6,89,73,93,6,78.3
5,81,66,92,5,70.2
3,83,56,90,7,61.6
6,77,82,84,6,72.0
8,80,83,85,5,72.5
3,57,90,49,8,65.6
3,88,93,82,8,74.2
2,75,63,73,5,64.0
5,83,64,96,8,74.1
6,52,46,65,8,58.0
1,99,91,80,8,71.3
4,61,45,88,6,57.1
7,50,92,97,8,78.8
8,93,63,42,8,80.8
1,54,72,95,8,60.4
5,79,88,45,6,64.6
4,79,68,44,5,57.4
5,66,82,44,7,67.4
8,97,61,93,8,75.6
3,96,65,86,5,68.0
4,72,67,62,8,60.3
3,64,89,88,6,69.9
8,86,60,48,5,63.3
1,70,88,74,6,52.6
8,63,46,59,8,65.4
1,51,56,97,8,59.0
4,60,59,88,6,59.0
4,100,80,100,7,75.9
6,88,88,98,6,75.0
5,87,59,81,8,73.4
6,83,93,74,6,79.2
5,87,61,89,7,67.4
6,99,67,57,6,66.8
3,83,79,56,7,63.8
4,67,88,63,7,75.6
1,79,46,42,6,48.9
5,64,40,71,6,52.2
8,76,71,74,5,72.5
5,100,52,77,8,64.9
1,83,69,52,7,59.6
6,87,62,95,5,78.1
5,82,90,100,6,84.6
7,73,95,86,8,84.5
3,64,58,64,5,51.3
4,79,71,48,7,56.4
1,91,69,43,5,47.9
4,100,68,53,7,54.9
